,Player,Player.1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
0,"1Conor BradleyLiverpool, 20, D(R),M(R)","Conor Bradley Liverpool, 20, D(R),M(R)",5,386,3.0,0.6,1.2,0.2,1.2,1.4,-,-,7.72
1,"2Bukayo SakaArsenal, 22, D(L),M(CLR)","Bukayo Saka Arsenal, 22, D(L),M(CLR)",25,2139,2.0,0.4,1.2,-,0.5,1,0.1,-,7.71
2,"3RodriMan City, 27, D(C),DMC","Rodri Man City, 27, D(C),DMC",23,1990,2.1,0.9,1.3,-,1.4,0.8,0.3,-,7.58
3,"4Michael OliseCrystal Palace, 22, AM(CLR)","Michael Olise Crystal Palace, 22, AM(CLR)",8(3),755,1.3,0.5,0.6,-,0.7,1.1,-,-,7.54
4,"5Mohamed SalahLiverpool, 31, AM(CLR),FW","Mohamed Salah Liverpool, 31, AM(CLR),FW",20(1),1790,0.6,0.1,0.3,-,-,0.6,-,-,7.48
5,"6James MaddisonTottenham, 27, AM(CLR)","James Maddison Tottenham, 27, AM(CLR)",16,1321,1.5,0.5,0.8,-,0.2,0.5,0.1,-,7.46
6,"7Erling HaalandMan City, 23, FW","Erling Haaland Man City, 23, FW",20(1),1746,0.2,-,0.6,-,0.6,-,-,-,7.43
7,"8Solly MarchBrighton, 29, M(CLR)","Solly March Brighton, 29, M(CLR)",7,559,2.7,1.6,1.7,-,1.1,0.9,-,-,7.43
8,"9Ollie WatkinsAston Villa, 28, AM(LR),FW","Ollie Watkins Aston Villa, 28, AM(LR),FW",27,2393,0.3,0.1,0.7,0.1,0.7,0.2,0.1,-,7.41
9,"10Phil FodenMan City, 23, AM(CLR),FW","Phil Foden Man City, 23, AM(CLR),FW",24(2),2135,0.8,0.5,0.4,-,0.5,0.4,-,-,7.38
0,"1Conor BradleyLiverpool, 20, D(R),M(R)","Conor Bradley Liverpool, 20, D(R),M(R)",5,386,3.0,0.6,1.2,0.2,1.2,1.4,-,-,7.72
1,"2Bukayo SakaArsenal, 22, D(L),M(CLR)","Bukayo Saka Arsenal, 22, D(L),M(CLR)",25,2139,2.0,0.4,1.2,-,0.5,1,0.1,-,7.71
2,"3RodriMan City, 27, D(C),DMC","Rodri Man City, 27, D(C),DMC",23,1990,2.1,0.9,1.3,-,1.4,0.8,0.3,-,7.58
3,"4Michael OliseCrystal Palace, 22, AM(CLR)","Michael Olise Crystal Palace, 22, AM(CLR)",8(3),755,1.3,0.5,0.6,-,0.7,1.1,-,-,7.54
4,"5Mohamed SalahLiverpool, 31, AM(CLR),FW","Mohamed Salah Liverpool, 31, AM(CLR),FW",20(1),1790,0.6,0.1,0.3,-,-,0.6,-,-,7.48
5,"6James MaddisonTottenham, 27, AM(CLR)","James Maddison Tottenham, 27, AM(CLR)",16,1321,1.5,0.5,0.8,-,0.2,0.5,0.1,-,7.46
6,"7Erling HaalandMan City, 23, FW","Erling Haaland Man City, 23, FW",20(1),1746,0.2,-,0.6,-,0.6,-,-,-,7.43
7,"8Solly MarchBrighton, 29, M(CLR)","Solly March Brighton, 29, M(CLR)",7,559,2.7,1.6,1.7,-,1.1,0.9,-,-,7.43
8,"9Ollie WatkinsAston Villa, 28, AM(LR),FW","Ollie Watkins Aston Villa, 28, AM(LR),FW",27,2393,0.3,0.1,0.7,0.1,0.7,0.2,0.1,-,7.41
9,"10Phil FodenMan City, 23, AM(CLR),FW","Phil Foden Man City, 23, AM(CLR),FW",24(2),2135,0.8,0.5,0.4,-,0.5,0.4,-,-,7.38
0,"1Conor BradleyLiverpool, 20, D(R),M(R)","Conor Bradley Liverpool, 20, D(R),M(R)",5,386,3.0,0.6,1.2,0.2,1.2,1.4,-,-,7.72
1,"2Bukayo SakaArsenal, 22, D(L),M(CLR)","Bukayo Saka Arsenal, 22, D(L),M(CLR)",25,2139,2.0,0.4,1.2,-,0.5,1,0.1,-,7.71
2,"3RodriMan City, 27, D(C),DMC","Rodri Man City, 27, D(C),DMC",23,1990,2.1,0.9,1.3,-,1.4,0.8,0.3,-,7.58
3,"4Michael OliseCrystal Palace, 22, AM(CLR)","Michael Olise Crystal Palace, 22, AM(CLR)",8(3),755,1.3,0.5,0.6,-,0.7,1.1,-,-,7.54
4,"5Mohamed SalahLiverpool, 31, AM(CLR),FW","Mohamed Salah Liverpool, 31, AM(CLR),FW",20(1),1790,0.6,0.1,0.3,-,-,0.6,-,-,7.48
5,"6James MaddisonTottenham, 27, AM(CLR)","James Maddison Tottenham, 27, AM(CLR)",16,1321,1.5,0.5,0.8,-,0.2,0.5,0.1,-,7.46
6,"7Erling HaalandMan City, 23, FW","Erling Haaland Man City, 23, FW",20(1),1746,0.2,-,0.6,-,0.6,-,-,-,7.43
